X1,X2,X3,X4,y,y_rbf,y_poly
0.0000000000,0.1000000000,0.0000000000,0.1000000000,0.9076320304,0.8500304172,0.8325314237
0.0000000000,0.2000000000,0.0000000000,0.2000000000,0.9472289374,0.8451277316,0.8325388499
0.0000000000,0.3000000000,0.0000000000,0.3000000000,0.9278627952,0.8508628049,0.8325893956
0.0000000000,0.4000000000,0.0000000000,0.4000000000,0.8985390061,0.8660227900,0.8327764867
0.0000000000,0.5000000000,0.0000000000,0.5000000000,0.8617571530,0.8892346331,0.8332797882
0.0000000000,0.6000000000,0.0000000000,0.6000000000,0.8441383119,0.9190157574,0.8343939506
0.0000000000,0.7000000000,0.0000000000,0.7000000000,0.8686325421,0.9538267518,0.8365573565
0.0000000000,0.8000000000,0.0000000000,0.8000000000,0.9050534458,0.9921239792,0.8403808667
0.0000000000,0.9000000000,0.0000000000,0.9000000000,0.9322775297,1.0324100684,0.8466765669
0.1000000000,0.0000000000,0.1000000000,0.0000000000,0.8995302906,0.8432258323,0.8325348127
0.1000000000,0.1000000000,0.1000000000,0.1000000000,0.7023134955,0.8204318460,0.8325315760
0.1000000000,0.2000000000,0.1000000000,0.2000000000,0.8390528087,0.8095634324,0.8325021570
0.1000000000,0.3000000000,0.1000000000,0.3000000000,0.9099831345,0.8096767778,0.8324109840
0.1000000000,0.4000000000,0.1000000000,0.4000000000,0.8600476492,0.8196144949,0.8322381442
0.1000000000,0.5000000000,0.1000000000,0.5000000000,0.7841780505,0.8380513741,0.8320081297
0.1000000000,0.6000000000,0.1000000000,0.6000000000,0.7633786634,0.8635443997,0.8318185842
0.1000000000,0.7000000000,0.1000000000,0.7000000000,0.8361711814,0.8945849939,0.8318690490
0.1000000000,0.8000000000,0.1000000000,0.8000000000,0.8961799782,0.9296513992,0.8324897101
0.1000000000,0.9000000000,0.1000000000,0.9000000000,0.9302434963,0.9672591661,0.8341701437
0.2000000000,0.0000000000,0.2000000000,0.0000000000,0.9330125289,0.8378160148,0.8326472968
0.2000000000,0.1000000000,0.2000000000,0.1000000000,0.7091849628,0.8094770095,0.8326346758
0.2000000000,0.2000000000,0.2000000000,0.2000000000,0.6299103639,0.7932397277,0.8325437228
0.2000000000,0.3000000000,0.2000000000,0.3000000000,0.8497105429,0.7882194439,0.8322498551
0.2000000000,0.4000000000,0.2000000000,0.4000000000,0.8283186728,0.7933128499,0.8316023140
